"","bootStrapNum","interactionDepth","shrinkage","bagFraction","totalTrees","validationAccuracy","bootstrapID"
"1",1,1,0.001,0.2,5369,0.641666666666667,1
"2",2,1,0.001,0.2,4715,0.525,1
"3",3,1,0.001,0.2,8389,0.6,1
"4",4,1,0.001,0.2,5773,0.591666666666667,1
"5",5,1,0.001,0.2,7150,0.633333333333333,1
"6",6,1,0.001,0.2,7782,0.658333333333333,1
"7",1,1,0.001,0.3,5844,0.641666666666667,2
"8",2,1,0.001,0.3,7491,0.633333333333333,2
"9",3,1,0.001,0.3,5504,0.658333333333333,2
"10",4,1,0.001,0.3,2874,0.691666666666667,2
"11",5,1,0.001,0.3,8832,0.608333333333333,2
"12",6,1,0.001,0.3,5385,0.675,2
"13",1,1,0.001,0.4,5648,0.633333333333333,3
"14",2,1,0.001,0.4,6876,0.658333333333333,3
"15",3,1,0.001,0.4,1524,0.616666666666667,3
"16",4,1,0.001,0.4,7297,0.616666666666667,3
"17",5,1,0.001,0.4,2956,0.658333333333333,3
"18",6,1,0.001,0.4,9995,0.625,3
"19",1,1,0.001,0.5,7139,0.566666666666667,4
"20",2,1,0.001,0.5,3771,0.7,4
"21",3,1,0.001,0.5,3694,0.666666666666667,4
"22",4,1,0.001,0.5,1620,0.675,4
"23",5,1,0.001,0.5,6773,0.65,4
"24",6,1,0.001,0.5,3271,0.608333333333333,4
"25",1,1,0.001,0.6,2555,0.716666666666667,5
"26",2,1,0.001,0.6,9730,0.633333333333333,5
"27",3,1,0.001,0.6,8971,0.541666666666667,5
"28",4,1,0.001,0.6,4802,0.675,5
"29",5,1,0.001,0.6,4083,0.7,5
"30",6,1,0.001,0.6,5889,0.675,5
"31",1,1,0.001,0.7,1066,0.666666666666667,6
"32",2,1,0.001,0.7,8006,0.566666666666667,6
"33",3,1,0.001,0.7,1023,0.725,6
"34",4,1,0.001,0.7,3464,0.625,6
"35",5,1,0.001,0.7,1736,0.683333333333333,6
"36",6,1,0.001,0.7,9416,0.616666666666667,6
"37",1,1,0.006,0.2,1273,0.616666666666667,7
"38",2,1,0.006,0.2,1947,0.641666666666667,7
"39",3,1,0.006,0.2,843,0.55,7
"40",4,1,0.006,0.2,813,0.65,7
"41",5,1,0.006,0.2,765,0.466666666666667,7
"42",6,1,0.006,0.2,1150,0.666666666666667,7
"43",1,1,0.006,0.3,443,0.591666666666667,8
"44",2,1,0.006,0.3,656,0.641666666666667,8
"45",3,1,0.006,0.3,1144,0.708333333333333,8
"46",4,1,0.006,0.3,574,0.625,8
"47",5,1,0.006,0.3,660,0.658333333333333,8
"48",6,1,0.006,0.3,967,0.616666666666667,8
"49",1,1,0.006,0.4,223,0.7,9
"50",2,1,0.006,0.4,584,0.625,9
"51",3,1,0.006,0.4,813,0.625,9
"52",4,1,0.006,0.4,806,0.633333333333333,9
"53",5,1,0.006,0.4,262,0.641666666666667,9
"54",6,1,0.006,0.4,765,0.666666666666667,9
"55",1,1,0.006,0.5,533,0.641666666666667,10
"56",2,1,0.006,0.5,2028,0.608333333333333,10
"57",3,1,0.006,0.5,221,0.641666666666667,10
"58",4,1,0.006,0.5,402,0.625,10
"59",5,1,0.006,0.5,541,0.7,10
"60",6,1,0.006,0.5,680,0.625,10
"61",1,1,0.006,0.6,278,0.7,11
"62",2,1,0.006,0.6,2064,0.625,11
"63",3,1,0.006,0.6,856,0.716666666666667,11
"64",4,1,0.006,0.6,355,0.675,11
"65",5,1,0.006,0.6,311,0.683333333333333,11
"66",6,1,0.006,0.6,299,0.691666666666667,11
"67",1,1,0.006,0.7,1271,0.591666666666667,12
"68",2,1,0.006,0.7,483,0.65,12
"69",3,1,0.006,0.7,277,0.716666666666667,12
"70",4,1,0.006,0.7,271,0.666666666666667,12
"71",5,1,0.006,0.7,1199,0.625,12
"72",6,1,0.006,0.7,322,0.708333333333333,12
"73",1,2,0.001,0.2,6170,0.583333333333333,13
"74",2,2,0.001,0.2,3020,0.575,13
"75",3,2,0.001,0.2,4508,0.6,13
"76",4,2,0.001,0.2,3845,0.608333333333333,13
"77",5,2,0.001,0.2,4256,0.616666666666667,13
"78",6,2,0.001,0.2,6014,0.6,13
"79",1,2,0.001,0.3,2963,0.658333333333333,14
"80",2,2,0.001,0.3,2905,0.675,14
"81",3,2,0.001,0.3,6499,0.641666666666667,14
"82",4,2,0.001,0.3,2730,0.691666666666667,14
"83",5,2,0.001,0.3,4073,0.633333333333333,14
"84",6,2,0.001,0.3,2035,0.633333333333333,14
"85",1,2,0.001,0.4,2144,0.591666666666667,15
"86",2,2,0.001,0.4,1477,0.725,15
"87",3,2,0.001,0.4,3073,0.7,15
"88",4,2,0.001,0.4,7419,0.591666666666667,15
"89",5,2,0.001,0.4,8398,0.6,15
"90",6,2,0.001,0.4,3734,0.633333333333333,15
"91",1,2,0.001,0.5,3898,0.65,16
"92",2,2,0.001,0.5,2490,0.591666666666667,16
"93",3,2,0.001,0.5,1630,0.658333333333333,16
"94",4,2,0.001,0.5,2932,0.675,16
"95",5,2,0.001,0.5,2790,0.633333333333333,16
"96",6,2,0.001,0.5,2847,0.608333333333333,16
"97",1,2,0.001,0.6,3945,0.65,17
"98",2,2,0.001,0.6,1449,0.716666666666667,17
"99",3,2,0.001,0.6,4967,0.666666666666667,17
"100",4,2,0.001,0.6,4489,0.625,17
"101",5,2,0.001,0.6,2371,0.658333333333333,17
"102",6,2,0.001,0.6,9663,0.633333333333333,17
"103",1,2,0.001,0.7,3296,0.608333333333333,18
"104",2,2,0.001,0.7,3761,0.658333333333333,18
"105",3,2,0.001,0.7,1725,0.733333333333333,18
"106",4,2,0.001,0.7,2223,0.691666666666667,18
"107",5,2,0.001,0.7,1262,0.716666666666667,18
"108",6,2,0.001,0.7,3645,0.75,18
"109",1,2,0.006,0.2,318,0.641666666666667,19
"110",2,2,0.006,0.2,728,0.65,19
"111",3,2,0.006,0.2,708,0.591666666666667,19
"112",4,2,0.006,0.2,368,0.575,19
"113",5,2,0.006,0.2,1451,0.591666666666667,19
"114",6,2,0.006,0.2,671,0.591666666666667,19
"115",1,2,0.006,0.3,715,0.666666666666667,20
"116",2,2,0.006,0.3,999,0.558333333333333,20
"117",3,2,0.006,0.3,918,0.65,20
"118",4,2,0.006,0.3,517,0.716666666666667,20
"119",5,2,0.006,0.3,689,0.641666666666667,20
"120",6,2,0.006,0.3,622,0.625,20
"121",1,2,0.006,0.4,868,0.666666666666667,21
"122",2,2,0.006,0.4,631,0.625,21
"123",3,2,0.006,0.4,462,0.633333333333333,21
"124",4,2,0.006,0.4,229,0.675,21
"125",5,2,0.006,0.4,583,0.733333333333333,21
"126",6,2,0.006,0.4,374,0.625,21
"127",1,2,0.006,0.5,372,0.683333333333333,22
"128",2,2,0.006,0.5,658,0.65,22
"129",3,2,0.006,0.5,759,0.583333333333333,22
"130",4,2,0.006,0.5,816,0.633333333333333,22
"131",5,2,0.006,0.5,300,0.675,22
"132",6,2,0.006,0.5,598,0.625,22
"133",1,2,0.006,0.6,608,0.7,23
"134",2,2,0.006,0.6,327,0.65,23
"135",3,2,0.006,0.6,340,0.675,23
"136",4,2,0.006,0.6,400,0.7,23
"137",5,2,0.006,0.6,267,0.675,23
"138",6,2,0.006,0.6,746,0.725,23
"139",1,2,0.006,0.7,139,0.683333333333333,24
"140",2,2,0.006,0.7,145,0.725,24
"141",3,2,0.006,0.7,589,0.625,24
"142",4,2,0.006,0.7,227,0.7,24
"143",5,2,0.006,0.7,361,0.591666666666667,24
"144",6,2,0.006,0.7,822,0.616666666666667,24
"145",1,3,0.001,0.2,7443,0.616666666666667,25
"146",2,3,0.001,0.2,1637,0.666666666666667,25
"147",3,3,0.001,0.2,3827,0.6,25
"148",4,3,0.001,0.2,3997,0.616666666666667,25
"149",5,3,0.001,0.2,4732,0.658333333333333,25
"150",6,3,0.001,0.2,2688,0.716666666666667,25
"151",1,3,0.001,0.3,2051,0.7,26
"152",2,3,0.001,0.3,4398,0.641666666666667,26
"153",3,3,0.001,0.3,5441,0.633333333333333,26
"154",4,3,0.001,0.3,4832,0.591666666666667,26
"155",5,3,0.001,0.3,4124,0.633333333333333,26
"156",6,3,0.001,0.3,4240,0.65,26
"157",1,3,0.001,0.4,2507,0.683333333333333,27
"158",2,3,0.001,0.4,3633,0.6,27
"159",3,3,0.001,0.4,3018,0.625,27
"160",4,3,0.001,0.4,3017,0.666666666666667,27
"161",5,3,0.001,0.4,3693,0.641666666666667,27
"162",6,3,0.001,0.4,3541,0.625,27
"163",1,3,0.001,0.5,2105,0.691666666666667,28
"164",2,3,0.001,0.5,4787,0.633333333333333,28
"165",3,3,0.001,0.5,1682,0.683333333333333,28
"166",4,3,0.001,0.5,2680,0.666666666666667,28
"167",5,3,0.001,0.5,2124,0.666666666666667,28
"168",6,3,0.001,0.5,2357,0.733333333333333,28
"169",1,3,0.001,0.6,2439,0.658333333333333,29
"170",2,3,0.001,0.6,2944,0.6,29
"171",3,3,0.001,0.6,1890,0.7,29
"172",4,3,0.001,0.6,1611,0.633333333333333,29
"173",5,3,0.001,0.6,2401,0.683333333333333,29
"174",6,3,0.001,0.6,2717,0.666666666666667,29
"175",1,3,0.001,0.7,1527,0.658333333333333,30
"176",2,3,0.001,0.7,1784,0.683333333333333,30
"177",3,3,0.001,0.7,2160,0.6,30
"178",4,3,0.001,0.7,3625,0.641666666666667,30
"179",5,3,0.001,0.7,2744,0.65,30
"180",6,3,0.001,0.7,735,0.783333333333333,30
"181",1,3,0.006,0.2,332,0.7,31
"182",2,3,0.006,0.2,422,0.575,31
"183",3,3,0.006,0.2,569,0.65,31
"184",4,3,0.006,0.2,620,0.625,31
"185",5,3,0.006,0.2,502,0.65,31
"186",6,3,0.006,0.2,767,0.666666666666667,31
"187",1,3,0.006,0.3,1171,0.608333333333333,32
"188",2,3,0.006,0.3,793,0.633333333333333,32
"189",3,3,0.006,0.3,589,0.608333333333333,32
"190",4,3,0.006,0.3,547,0.658333333333333,32
"191",5,3,0.006,0.3,727,0.575,32
"192",6,3,0.006,0.3,451,0.708333333333333,32
"193",1,3,0.006,0.4,251,0.633333333333333,33
"194",2,3,0.006,0.4,293,0.7,33
"195",3,3,0.006,0.4,907,0.616666666666667,33
"196",4,3,0.006,0.4,397,0.7,33
"197",5,3,0.006,0.4,360,0.633333333333333,33
"198",6,3,0.006,0.4,614,0.666666666666667,33
"199",1,3,0.006,0.5,198,0.725,34
"200",2,3,0.006,0.5,462,0.641666666666667,34
"201",3,3,0.006,0.5,146,0.616666666666667,34
"202",4,3,0.006,0.5,307,0.683333333333333,34
"203",5,3,0.006,0.5,733,0.675,34
"204",6,3,0.006,0.5,504,0.708333333333333,34
"205",1,3,0.006,0.6,259,0.733333333333333,35
"206",2,3,0.006,0.6,700,0.658333333333333,35
"207",3,3,0.006,0.6,189,0.716666666666667,35
"208",4,3,0.006,0.6,565,0.675,35
"209",5,3,0.006,0.6,319,0.708333333333333,35
"210",6,3,0.006,0.6,201,0.683333333333333,35
"211",1,3,0.006,0.7,374,0.716666666666667,36
"212",2,3,0.006,0.7,428,0.641666666666667,36
"213",3,3,0.006,0.7,571,0.633333333333333,36
"214",4,3,0.006,0.7,173,0.666666666666667,36
"215",5,3,0.006,0.7,532,0.65,36
"216",6,3,0.006,0.7,601,0.691666666666667,36
"217",1,4,0.001,0.2,2724,0.65,37
"218",2,4,0.001,0.2,3017,0.658333333333333,37
"219",3,4,0.001,0.2,3313,0.666666666666667,37
"220",4,4,0.001,0.2,4327,0.625,37
"221",5,4,0.001,0.2,3273,0.666666666666667,37
"222",6,4,0.001,0.2,4326,0.658333333333333,37
"223",1,4,0.001,0.3,3298,0.591666666666667,38
"224",2,4,0.001,0.3,2156,0.683333333333333,38
"225",3,4,0.001,0.3,4030,0.633333333333333,38
"226",4,4,0.001,0.3,1995,0.65,38
"227",5,4,0.001,0.3,4020,0.65,38
"228",6,4,0.001,0.3,3083,0.658333333333333,38
"229",1,4,0.001,0.4,4042,0.658333333333333,39
"230",2,4,0.001,0.4,3403,0.641666666666667,39
"231",3,4,0.001,0.4,3906,0.616666666666667,39
"232",4,4,0.001,0.4,2818,0.666666666666667,39
"233",5,4,0.001,0.4,2832,0.616666666666667,39
"234",6,4,0.001,0.4,2815,0.575,39
"235",1,4,0.001,0.5,1809,0.65,40
"236",2,4,0.001,0.5,2530,0.683333333333333,40
"237",3,4,0.001,0.5,3763,0.641666666666667,40
"238",4,4,0.001,0.5,2159,0.675,40
"239",5,4,0.001,0.5,2743,0.691666666666667,40
"240",6,4,0.001,0.5,3799,0.658333333333333,40
"241",1,4,0.001,0.6,2378,0.675,41
"242",2,4,0.001,0.6,1871,0.683333333333333,41
"243",3,4,0.001,0.6,1537,0.65,41
"244",4,4,0.001,0.6,2139,0.641666666666667,41
"245",5,4,0.001,0.6,1806,0.666666666666667,41
"246",6,4,0.001,0.6,2827,0.691666666666667,41
"247",1,4,0.001,0.7,2175,0.633333333333333,42
"248",2,4,0.001,0.7,3076,0.683333333333333,42
"249",3,4,0.001,0.7,6548,0.583333333333333,42
"250",4,4,0.001,0.7,910,0.716666666666667,42
"251",5,4,0.001,0.7,3847,0.666666666666667,42
"252",6,4,0.001,0.7,2103,0.658333333333333,42
"253",1,4,0.006,0.2,758,0.641666666666667,43
"254",2,4,0.006,0.2,965,0.583333333333333,43
"255",3,4,0.006,0.2,1451,0.558333333333333,43
"256",4,4,0.006,0.2,587,0.633333333333333,43
"257",5,4,0.006,0.2,383,0.616666666666667,43
"258",6,4,0.006,0.2,549,0.583333333333333,43
"259",1,4,0.006,0.3,342,0.591666666666667,44
"260",2,4,0.006,0.3,603,0.633333333333333,44
"261",3,4,0.006,0.3,746,0.633333333333333,44
"262",4,4,0.006,0.3,587,0.616666666666667,44
"263",5,4,0.006,0.3,437,0.675,44
"264",6,4,0.006,0.3,434,0.633333333333333,44
"265",1,4,0.006,0.4,704,0.575,45
"266",2,4,0.006,0.4,364,0.658333333333333,45
"267",3,4,0.006,0.4,649,0.608333333333333,45
"268",4,4,0.006,0.4,519,0.641666666666667,45
"269",5,4,0.006,0.4,513,0.675,45
"270",6,4,0.006,0.4,583,0.625,45
"271",1,4,0.006,0.5,210,0.708333333333333,46
"272",2,4,0.006,0.5,418,0.583333333333333,46
"273",3,4,0.006,0.5,389,0.658333333333333,46
"274",4,4,0.006,0.5,274,0.65,46
"275",5,4,0.006,0.5,187,0.683333333333333,46
"276",6,4,0.006,0.5,320,0.716666666666667,46
"277",1,4,0.006,0.6,585,0.7,47
"278",2,4,0.006,0.6,414,0.7,47
"279",3,4,0.006,0.6,318,0.641666666666667,47
"280",4,4,0.006,0.6,765,0.683333333333333,47
"281",5,4,0.006,0.6,330,0.716666666666667,47
"282",6,4,0.006,0.6,675,0.65,47
"283",1,4,0.006,0.7,1072,0.683333333333333,48
"284",2,4,0.006,0.7,422,0.633333333333333,48
"285",3,4,0.006,0.7,250,0.675,48
"286",4,4,0.006,0.7,440,0.641666666666667,48
"287",5,4,0.006,0.7,421,0.616666666666667,48
"288",6,4,0.006,0.7,273,0.75,48
"289",1,5,0.001,0.2,3341,0.6,49
"290",2,5,0.001,0.2,5690,0.575,49
"291",3,5,0.001,0.2,2876,0.616666666666667,49
"292",4,5,0.001,0.2,3259,0.6,49
"293",5,5,0.001,0.2,2242,0.65,49
"294",6,5,0.001,0.2,3996,0.658333333333333,49
"295",1,5,0.001,0.3,4201,0.65,50
"296",2,5,0.001,0.3,3232,0.641666666666667,50
"297",3,5,0.001,0.3,1896,0.616666666666667,50
"298",4,5,0.001,0.3,4585,0.65,50
"299",5,5,0.001,0.3,2132,0.591666666666667,50
"300",6,5,0.001,0.3,4671,0.591666666666667,50
"301",1,5,0.001,0.4,4638,0.641666666666667,51
"302",2,5,0.001,0.4,2425,0.641666666666667,51
"303",3,5,0.001,0.4,3342,0.6,51
"304",4,5,0.001,0.4,3061,0.616666666666667,51
"305",5,5,0.001,0.4,2789,0.616666666666667,51
"306",6,5,0.001,0.4,3371,0.708333333333333,51
"307",1,5,0.001,0.5,4289,0.658333333333333,52
"308",2,5,0.001,0.5,2365,0.75,52
"309",3,5,0.001,0.5,3896,0.65,52
"310",4,5,0.001,0.5,1969,0.691666666666667,52
"311",5,5,0.001,0.5,2747,0.625,52
"312",6,5,0.001,0.5,2039,0.641666666666667,52
"313",1,5,0.001,0.6,1638,0.65,53
"314",2,5,0.001,0.6,2033,0.691666666666667,53
"315",3,5,0.001,0.6,2822,0.633333333333333,53
"316",4,5,0.001,0.6,3110,0.691666666666667,53
"317",5,5,0.001,0.6,1466,0.7,53
"318",6,5,0.001,0.6,2470,0.691666666666667,53
"319",1,5,0.001,0.7,1476,0.758333333333333,54
"320",2,5,0.001,0.7,2648,0.65,54
"321",3,5,0.001,0.7,1442,0.658333333333333,54
"322",4,5,0.001,0.7,1544,0.65,54
"323",5,5,0.001,0.7,1618,0.65,54
"324",6,5,0.001,0.7,2144,0.758333333333333,54
"325",1,5,0.006,0.2,584,0.6,55
"326",2,5,0.006,0.2,834,0.625,55
"327",3,5,0.006,0.2,622,0.683333333333333,55
"328",4,5,0.006,0.2,606,0.633333333333333,55
"329",5,5,0.006,0.2,240,0.6,55
"330",6,5,0.006,0.2,1528,0.608333333333333,55
"331",1,5,0.006,0.3,614,0.65,56
"332",2,5,0.006,0.3,269,0.65,56
"333",3,5,0.006,0.3,599,0.65,56
"334",4,5,0.006,0.3,505,0.6,56
"335",5,5,0.006,0.3,198,0.683333333333333,56
"336",6,5,0.006,0.3,648,0.666666666666667,56
"337",1,5,0.006,0.4,465,0.608333333333333,57
"338",2,5,0.006,0.4,382,0.683333333333333,57
"339",3,5,0.006,0.4,805,0.6,57
"340",4,5,0.006,0.4,478,0.583333333333333,57
"341",5,5,0.006,0.4,530,0.7,57
"342",6,5,0.006,0.4,391,0.683333333333333,57
"343",1,5,0.006,0.5,339,0.725,58
"344",2,5,0.006,0.5,276,0.683333333333333,58
"345",3,5,0.006,0.5,325,0.658333333333333,58
"346",4,5,0.006,0.5,421,0.75,58
"347",5,5,0.006,0.5,903,0.583333333333333,58
"348",6,5,0.006,0.5,321,0.658333333333333,58
"349",1,5,0.006,0.6,349,0.7,59
"350",2,5,0.006,0.6,779,0.741666666666667,59
"351",3,5,0.006,0.6,623,0.658333333333333,59
"352",4,5,0.006,0.6,229,0.675,59
"353",5,5,0.006,0.6,930,0.683333333333333,59
"354",6,5,0.006,0.6,276,0.691666666666667,59
"355",1,5,0.006,0.7,507,0.691666666666667,60
"356",2,5,0.006,0.7,337,0.733333333333333,60
"357",3,5,0.006,0.7,576,0.708333333333333,60
"358",4,5,0.006,0.7,435,0.691666666666667,60
"359",5,5,0.006,0.7,342,0.641666666666667,60
"360",6,5,0.006,0.7,457,0.666666666666667,60
